"filename", "language", "CSS", "Python", "Batch", "JSON", "HTML", "comment", "blank", "total"
"d:\Code\Y4S12Software\Codes\program\Test.py", "Python", 0, 225, 0, 0, 0, 26, 41, 292
"d:\Code\Y4S12Software\Codes\program\build\mainTest\xref-mainTest.html", "HTML", 0, 0, 0, 0, 6250, 0, 1358, 7608
"d:\Code\Y4S12Software\Codes\program\build_bat.bat", "Batch", 0, 0, 4, 0, 0, 0, 2, 6
"d:\Code\Y4S12Software\Codes\program\component\musicPlayer.py", "Python", 0, 471, 0, 0, 0, 30, 86, 587
"d:\Code\Y4S12Software\Codes\program\component\qss\black.qss", "CSS", 120, 0, 0, 0, 0, 0, 26, 146
"d:\Code\Y4S12Software\Codes\program\component\qss\brown.qss", "CSS", 120, 0, 0, 0, 0, 0, 26, 146
"d:\Code\Y4S12Software\Codes\program\component\qss\green.qss", "CSS", 120, 0, 0, 0, 0, 0, 26, 146
"d:\Code\Y4S12Software\Codes\program\component\qss\musicPlayer.qss", "CSS", 119, 0, 0, 0, 0, 0, 26, 145
"d:\Code\Y4S12Software\Codes\program\component\qss\titleBar.qss", "CSS", 46, 0, 0, 0, 0, 0, 12, 58
"d:\Code\Y4S12Software\Codes\program\component\qss\white.qss", "CSS", 120, 0, 0, 0, 0, 0, 26, 146
"d:\Code\Y4S12Software\Codes\program\component\titleBar.py", "Python", 0, 50, 0, 0, 0, 7, 11, 68
"d:\Code\Y4S12Software\Codes\program\core\AudioCore.py", "Python", 0, 59, 0, 0, 0, 3, 17, 79
"d:\Code\Y4S12Software\Codes\program\core\cosineSimilarity.py", "Python", 0, 12, 0, 0, 0, 0, 5, 17
"d:\Code\Y4S12Software\Codes\program\core\getSongFeature.py", "Python", 0, 22, 0, 0, 0, 0, 6, 28
"d:\Code\Y4S12Software\Codes\program\core\waveAnalyzer.py", "Python", 0, 23, 0, 0, 0, 4, 4, 31
"d:\Code\Y4S12Software\Codes\program\main.py", "Python", 0, 96, 0, 0, 0, 4, 13, 113
"d:\Code\Y4S12Software\Codes\program\main.qss", "CSS", 13, 0, 0, 0, 0, 0, 4, 17
"d:\Code\Y4S12Software\Codes\program\playlists\1.json", "JSON", 0, 0, 0, 3074, 0, 0, 0, 3074
"d:\Code\Y4S12Software\Codes\program\playlists\cosineSlimilarityList.json", "JSON", 0, 0, 0, 3074, 0, 0, 0, 3074
"Total", "-", 658, 958, 4, 6148, 6250, 74, 1689, 15781
