filename,,spectral_bandwidth,spectral_contrast,bpm,wav_entropy,wav_std_dev,weighted_cosine_similarity
"Silentroom vs Frums - Aegleseeker (Cansol Piano Ar - 1.Silentroom vs Frums - Aegleseeker (Can(Av973005026,P1).mp3",,901.2403594,26.95126629,92.28515625,0.050992296,14.550552,47453132.81
"【翻唱】致我所珍视的人（大切な人たちへ）cover.by 白咲べる - 1.致我所珍视的人(Av885435952,P1).mp3",,1901.883398,26.40883633,69.83741554,0.0494395,16.60787,0.021881828
"【异世界情绪】日文翻唱《カミノコトバ_神的话语》 - 1.【情】神的话语(Av843779161,P1).mp3",,2003.536175,22.81985811,112.3471467,0.048449117,13.738843,0.019863905
"冬之花，但是高音质(24bit 96khz flac) - 1.1(Av296055534,P1).mp3",,2005.498634,22.81138748,99.38401442,0.048904684,15.045616,0.019828603
"【ナースロボ＿タイプＴ Caramel Act.2】たぶん _ 大概【UTAU cover +UST - 1.たぶん(Av796569992,P1).mp3",,2033.060012,23.89752187,89.10290948,0.048972776,13.088824,0.019345749
"【官方】King Gnu - 《Prayer X》MV（动画《战栗杀机》ED） - 1.Prayer X_fin0911(Av678263203,P1).mp3",,2037.394789,22.38171915,86.1328125,0.049914255,14.360525,0.019271939
01 ｉｎ　ｆａｃｔ.wav,,2038.806631,24.45085535,83.35433468,0.04890958,12.257769,0.019248021
"【官方】King Gnu - 《三文小说》MV（日剧《35岁的少女》主题曲） - 1.KG_SS_H264_4K_1102(Av508903187,P1).mp3",,2054.806353,22.9134146,89.10290948,0.048662344,12.122523,0.018981055
"【理芽】 #08「食虫植物」 （Official Music Video） - 1.rim_syokuchu_1230_1(Av81877256,P1).mp3",,2064.987696,22.92276004,123.046875,0.050446903,12.490356,0.018814994
"今夜はブギー?バック - 小沢健二 featuring スチャダラパー｜covered by som - 1.今夜はブギー?バック - 小沢健二 featuring スチャダラパー｜co(Av637141452,P1).mp3","J-Pop, Hip-Hop, Cover, Funk, Chill",2110.569563,22.72766421,92.28515625,0.04786751,13.955745,0.018105822
"「Future Funk」tomatoism - Ｓｏｍｅｏｎｅ Ｓｐｅｃｉａｌ - 1.「Future Funk」tomatoism - Ｓｏｍｅｏｎｅ Ｓｐｅｃｉ(Av378294129,P1).mp3","Future Funk, Electronic, Dance, Upbeat, Groovy",2113.724371,22.19158037,143.5546875,0.049563809,12.9693575,0.018058712
"【歌ってみた】垂直落下 covered by ヰ世界情緒 - 1.ヰ世界情緒_垂直落下(Av925826419,P1).mp3","J-Pop, Cover, Vocal, Emotional, Melancholic",2117.797639,24.65732889,95.703125,0.048759837,16.231913,0.017998248
