id,title,genre
11,ヰ世界情緒-誰か、海を。.mp3,"J-Pop,Anime Song,Electronic,Ambient,Experimental"
12,今天的我不一定是昨天的我（Song by 黑云）卡罗（立花日菜）.mp3,"J-Pop,Electro-Pop,Synth-Pop,Alternative Rock"
13,《言霊_言灵》 _ V.W.P #6.mp3,"J-Pop,Electro-Pop,Synth-Pop,Pop Rock"
14,「有什么不好」—結束バンド.mp3,"J-Pop,Pop Rock,Alternative Rock,Indie Rock,Anime Rock"
15,はじめてのチュウ 赤城みりあcv_黒沢ともよ.mp3,"J-Pop,Anime Song,Cute Pop,Idol Pop,Bubblegum Pop"
16,ヰ世界情緒-カミノコトバ.mp3,"J-Pop,Vocaloid,Electronic,Synth-Pop,Pop Rock"
17,ヰ世界情緒-蜜月アン ドゥ トロワ.mp3,"J-Pop,Vocaloid,Electro-Pop,Dance Pop,Synth-Pop"
213,"USAO - Big Daddy - 1.USAO - Big Daddy(Av53583384,P1).mp3","Hardcore,Hardstyle,Electronic,Dance,EDM"
214,Kobaryo - SUPER REACTOR X [feat. HiTNEX-X].flac,"Hardcore,Speedcore,Electronic,EDM,Experimental"
215,Strange Arrival - Dissolve.mp3,"Hardcore,Industrial Hardcore,Electronic,Uptempo,Chillout,Experimental"
216,C-Show VS DJ Genki.mp3,"Hardcore, J-Core, Electronic Dance Music (EDM), Rave Music, Japanese Hardcore"
217,Strange Arrival - Plastic Death.mp3,"Hardcore, Industrial Hardcore, Cyberpunk, Experimental Rock, Dark Electronica"
218,【BOFXVII】 Lidelle x Sobrem x Sennzai - self-dissociation【BGA】.flac,"Hardcore,Uptempo ,Electronic, Experimental, Synthpop"
219,Strange Arrival - Interior Deterioration.mp3,"Industrial Hardcore, Industrial Metal, Dark Ambient, Experimental Rock, Electronic"
