id,title,genre
11,【异世界情绪】シリウスの心臓.mp3,"J-Pop, Emotional, Ballad, Vocal, Cover"
12,【ナースロボ＿タイプＴ Caramel Act.2】たぶん _ 大概.mp3,"J-Pop, Vocaloid, Cover, Upbeat, Energetic"
13,【めぐ】Flyer!.mp3,"J-Pop, Anime Song, Upbeat, Energetic, Vocals"
14,【東方神霊廟】～ 聖徳伝説 ～ True Administrator ～.mp3,"J-Pop, Anime Song, Upbeat, Energetic, Instrumental"
15,ギターと孤独と蒼い惑星.mp3,"Rock, Indie, Energetic, Vocals, Emotional"
16,はじめてのチュウ.mp3,"J-Pop, Idol Pop, Upbeat, Energetic, Vocals"
17,【官方】King Gnu - 《白日》MV（日剧《冤罪律师》主题曲）.mp3,"J-Pop, Rock, Emotional, Ballad, Vocals"
213,DJ Myosuke - Virtual Euphoria【HARDCORE TANO_C】.mp3,"Hardcore, J-Core, Electronic, Rave, Energetic"
214,USAO-WildFire.mp3,"Hardcore, J-Core, Electronic, Rave, High-Energy"
215,X. THE FLOWER （Song by 小仓唯）娜塔夏（小仓唯）.mp3,"J-Pop, Anime Song, Emotional, Ballad, Vocals"
216,Hellfish - The Decimator.mp3,"Industrial Hardcore, Experimental Rock, Atmospheric, Electronic"
217,Kobaryo - SUPER REACTOR X [feat. HiTNEX-X].flac,"Speedcore, Hardcore, J-Core, Electronic, High-Energy"
218,Strange Arrival - Plastic Death.mp3,"Industrial Metal, Cyberpunk, Experimental Rock, Dark Electronica, Atmospheric"
219,Strange Arrival - Interior Deterioration.mp3,"Industrial Metal, Dark Ambient, Experimental Rock, Electronic, Atmospheric"
