id,title,genre
11,PaⅢ.SENSATION-Vivid BAD SQUAD × 初音ミク × 鏡音リン.flac,"J-Core, Vocaloid, Electronic, Dance"
12,Igneon System & Karbyde - TriggerFinger.mp3,"Hardcore, Industrial Metal, Electronic, Aggressive, Energetic"
13,【翻唱】Phony - ツミキ _ 町田千麻(Cover).mp3,"J-Pop, Anime Song, Cover, Vocal, Upbeat"
14,【flower】猛毒【かいりきベア】.mp3,"Synthpop, Electronic, Catchy, Groovy, Dance"
15,【中文字幕】somunia - Emerge.mp3,"Electronic, Synthpop, Atmospheric, Dreamy, Ambient"
16,X. THE FLOWER （Song by 小仓唯）娜塔夏（小仓唯）.mp3,"J-Pop, Anime Song, Emotional, Ballad, Vocals"
17,かねこちはる - TEmPTaTiON.mp3,"J-Pop, Idol Pop, Catchy, Energetic, Upbeat"
213,INTERNET YAMERO _ covered by 藍月なくる.mp3,"J-Pop, Vocal, Cover, Upbeat, Energetic"
214,【异世界情绪】日文翻唱《運命_命运》.mp3,"J-Pop, Pop Rock, Emotional, Rock, Vocal, Cover"
215,【异世界情绪】#07 《とめどなき白情_无法停止的白情》.mp3,"J-Pop, Emotional, Upbeat, Vocals, Original"
216,【歌ってみた】白昼夢 covered by ヰ世界情緒.mp3,"J-Pop, Emotional, Ballad, Vocal, Cover"
217,BetoRtallu - かたぎり(katagiri) - STRONG 280（Long ver.）.mp3,"Hardcore, Electronic, Experimental, Ambient, Atmospheric"
218,【初音ミク ＆ 可不】成为空【MIMI】.mp3,"J-Pop, Vocaloid, Electronic, Upbeat, Catchy"
219,【Mili】Ga1ahad and Scientific Witchery.mp3,"Electronic, Experimental, Vocaloid, Avant-Garde, Atmospheric"
