id,title,genre
11,【异世界情绪】日文翻唱《カミノコトバ_神的话语》.mp3,"J-Pop, Anime Song, Cover, Vocal, Melancholic"
12,【V.W.P】《言霊_言灵》 _ V.W.P #6【Original MV】.mp3,"J-Pop, Vocal, Emotional, Reflective, Melodic"
13,【官方】King Gnu - 《Prayer X》MV（动画《战栗杀机》ED）.mp3,"Alternative Rock, J-Rock, Emotional, Dramatic, Dark"
14,【异世界情绪】日文翻唱《誰か、海を。_谁来、将海。》.mp3,"J-Pop, Anime Song, Cover, Vocal, Nostalgic"
15,今天的我不一定是昨天的我（Song by 黑云）卡罗（立花日菜）.mp3,"J-Pop, Vocal, Emotional, Ballad, Soft"
16,「有什么不好」—結束バンド.mp3,"J-Rock, Anime Song, Upbeat, Vocal, Energetic"
17,covered by som - 1.今夜はブギー?バック - 小沢健二 featuring スチャダラパー.mp3,"Hip-Hop, J-Pop, Funk, Chill, Groove"
213,【Arcaea】C-Show - GIMME DA BLOOD.mp3,"Hardcore, Electronic, Aggressive, Fast-Paced, Intense"
214,BetoRtallu - かたぎり(katagiri).mp3,"EDM, Electronic, Energetic, Dance, Intense"
215,Strange Arrival - Dissolve.mp3,"Ambient, Chillout, Electronic, Atmospheric, Relaxing"
216,おくすり飲んで寝よう - 桃寝ちのい （cover）.mp3,"J-Pop, Cover, Vocal, Lullaby, Soft"
217,【OWC2021 Grand Finals Tiebreaker】Yooh - RPG.mp3,"Hardcore, Electronic, Upbeat, Intense, Fast-Paced"
218,OZIGIRI - ぼっち?ざ?ぐらいんど！ BOCCHI THE GRIND!.mp3,"Grindcore, Metal, Aggressive, Fast-Paced, Energetic"
219,Ad astra per aspera.flac,"Ambient, Electronic, Atmospheric, Dreamy, Ethereal"
