id,title,genre,similarity
13,《言霊_言灵》 _ V.W.P #6.mp3,"J-Pop,Anime Song,Electronic,Ambient,Experimental -> J-Pop,Electro-Pop,Synth-Pop,Pop Rock",0.374634325
14,「有什么不好」—結束バンド.mp3,"J-Pop,Electro-Pop,Synth-Pop,Alternative Rock -> J-Pop,Pop Rock,Alternative Rock,Indie Rock,Anime Rock",0.636146425
15,はじめてのチュウ 赤城みりあcv_黒沢ともよ.mp3,"J-Pop,Electro-Pop,Synth-Pop,Pop Rock -> J-Pop,Anime Song,Cute Pop,Idol Pop,Bubblegum Pop",0.801001879
16,ヰ世界情緒-カミノコトバ.mp3,"J-Pop,Pop Rock,Alternative Rock,Indie Rock,Anime Rock -> J-Pop,Vocaloid,Electronic,Synth-Pop,Pop Rock",0.578314932
17,ヰ世界情緒-蜜月アン ドゥ トロワ.mp3,"J-Pop,Anime Song,Cute Pop,Idol Pop,Bubblegum Pop -> J-Pop,Vocaloid,Electro-Pop,Dance Pop,Synth-Pop",0.780720058
215,Strange Arrival - Dissolve.mp3,"Hardcore,Hardstyle,Electronic,Dance,EDM -> Hardcore,Industrial Hardcore,Electronic,Uptempo,Chillout,Experimental",0.447213595
216,C-Show VS DJ Genki.mp3,"Hardcore,Speedcore,Electronic,EDM,Experimental -> Hardcore, J-Core, Electronic Dance Music (EDM), Rave Music, Japanese Hardcore",0.478091444
217,Strange Arrival - Plastic Death.mp3,"Hardcore,Industrial Hardcore,Electronic,Uptempo,Chillout,Experimental -> Hardcore, Industrial Hardcore, Cyberpunk, Experimental Rock, Dark Electronica",0.632455532
218,【BOFXVII】 Lidelle x Sobrem x Sennzai - self-dissociation【BGA】.flac,"Hardcore, J-Core, Electronic Dance Music (EDM), Rave Music, Japanese Hardcore -> Hardcore,Uptempo ,Electronic, Experimental, Synthpop",0.358568583
219,Strange Arrival - Interior Deterioration.mp3,"Hardcore, Industrial Hardcore, Cyberpunk, Experimental Rock, Dark Electronica -> Industrial Hardcore, Industrial Metal, Dark Ambient, Experimental Rock, Electronic",0.667423812
,,,0.575457059
