id,title,genre,similarity
13,《言霊_言灵》 _ V.W.P #6.mp3,"J-Pop,Electro-Pop,Synth-Pop,Alternative Rock -> J-Pop,Electro-Pop,Synth-Pop,Pop Rock",0.9544271444636665
14,「有什么不好」—結束バンド.mp3,"J-Pop,Electro-Pop,Synth-Pop,Pop Rock -> J-Pop,Pop Rock,Alternative Rock,Indie Rock,Anime Rock",0.5740378478819278
15,はじめてのチュウ 赤城みりあcv_黒沢ともよ.mp3,"J-Pop,Pop Rock,Alternative Rock,Indie Rock,Anime Rock -> J-Pop,Anime Song,Cute Pop,Idol Pop,Bubblegum Pop",0.4095141796739611
16,ヰ世界情緒-カミノコトバ.mp3,"J-Pop,Anime Song,Cute Pop,Idol Pop,Bubblegum Pop -> J-Pop,Vocaloid,Electronic,Synth-Pop,Pop Rock",0.7262730392025629
17,ヰ世界情緒-蜜月アン ドゥ トロワ.mp3,"J-Pop,Vocaloid,Electronic,Synth-Pop,Pop Rock -> J-Pop,Vocaloid,Electro-Pop,Dance Pop,Synth-Pop",0.8682431421244593
214,Kobaryo - SUPER REACTOR X [feat. HiTNEX-X].flac,"Hardcore,Hardstyle,Electronic,Dance,EDM -> Hardcore,Speedcore,Electronic,EDM,Experimental",0.6
215,Strange Arrival - Dissolve.mp3,"Hardcore,Speedcore,Electronic,EDM,Experimental -> Hardcore,Industrial Hardcore,Electronic,Uptempo,Chillout,Experimental",0.5962847939999438
216,C-Show VS DJ Genki.mp3,"Hardcore,Industrial Hardcore,Electronic,Uptempo,Chillout,Experimental -> Hardcore, J-Core, Electronic Dance Music (EDM), Rave Music, Japanese Hardcore",0.44543540318737396
217,Strange Arrival - Plastic Death.mp3,"Hardcore, J-Core, Electronic Dance Music (EDM), Rave Music, Japanese Hardcore -> Hardcore, Industrial Hardcore, Cyberpunk, Experimental Rock, Dark Electronica",0.33806170189140666
218,【BOFXVII】 Lidelle x Sobrem x Sennzai - self-dissociation【BGA】.flac,"Hardcore, Industrial Hardcore, Cyberpunk, Experimental Rock, Dark Electronica -> Hardcore,Uptempo ,Electronic, Experimental, Synthpop",0.4242640687119285
219,Strange Arrival - Interior Deterioration.mp3,"Hardcore,Uptempo ,Electronic, Experimental, Synthpop -> Industrial Hardcore, Industrial Metal, Dark Ambient, Experimental Rock, Electronic",0.40451991747794525
