filename,genre,spectral_bandwidth,spectral_contrast,bpm,wav_entropy,wav_std_dev,weighted_cosine_similarity
"Silentroom vs Frums - Aegleseeker (Cansol Piano Ar - 1.Silentroom vs Frums - Aegleseeker (Can(Av973005026,P1).mp3",,901.2403594,26.95126629,92.28515625,0.050992296,14.550552,0.999426455
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 7.今天的我不一定是昨天的我（Song by 黑云）卡罗（立花日菜）(Av300361986,P7).mp3",,2167.488304,25.24805848,172.265625,0.049135738,12.740547,0.841651864
"【歌ってみた】蜜月アン?ドゥ?トロワ covered by ヰ世界情緒 - 1.ヰ世界情緒_蜜月アンドゥトロワ(Av83986529,P1).mp3",,2372.958927,25.03621838,184.5703125,0.048958705,14.406434,0.831695866
"【花谱】「不埒な喝采_不羁的喝彩」原创歌曲 - 1.不羁的喝彩(Av504244351,P1).mp3",,2128.888288,22.01133174,161.4990234,0.050708769,14.755088,0.822193707
"【翻唱】精神电锯 ／ かいりきベア【Kotone(天神子兔音)cover】 - 1.【翻唱】精神电锯 ／ かいりきベア【Kotone(天神子兔音)cover】(Av545527667,P1).mp3",,2539.790604,21.73596659,184.5703125,0.050390097,16.28179,0.802802548
"【来自深渊】Hanezeve Caradhina 日曲完整版 - 1.1(Av16693457,P1).mp3",,2237.375859,23.74379218,161.4990234,0.049849393,11.937966,0.798919625
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 1.小熊（Song by Koresawa）索尔缇娜（南条爱乃）(Av300361986,P1).mp3",,2162.520285,23.81723992,151.9990809,0.048588366,13.093676,0.784974387
バグ ? 25時、ナイトコードで。 × 鏡音レン.flac,,2756.329922,21.28621522,184.5703125,0.050458555,15.6163225,0.765693364
"「Future Funk」tomatoism - Ｓｏｍｅｏｎｅ Ｓｐｅｃｉａｌ - 1.「Future Funk」tomatoism - Ｓｏｍｅｏｎｅ Ｓｐｅｃｉ(Av378294129,P1).mp3",,2113.724371,22.19158037,143.5546875,0.049563809,12.9693575,0.765287165
PaⅢ.SENSATION ? Vivid BAD SQUAD × 初音ミク × 鏡音リン.flac,"J-Core, Vocaloid, Electronic, Dance",2769.497398,21.2089689,184.5703125,0.049272507,15.204892,0.7634658
Igneon System & Karbyde - TriggerFinger.mp3,"Hardcore, Industrial Metal, Electronic, Aggressive, Energetic",2580.225885,19.56428348,172.265625,0.048724197,12.511354,0.762460356
"【翻唱】Phony - ツミキ _ 町田千麻(Cover) - 1.phony(Av419711743,P1).mp3","J-Pop, Anime Song, Cover, Vocal, Upbeat",2590.160574,22.43995797,172.265625,0.050124554,14.529998,0.76059163
"【flower】猛毒【かいりきベア】 - 1.ベノム _ flower - niconico動畫(Av28356844,P1).mp3","Synthpop, Electronic, Catchy, Groovy, Dance",2275.456862,22.23973927,151.9990809,0.049876419,15.64786,0.758572942
"【中文字幕】somunia - Emerge - 1.somunia - Emerge_x264(Av382679438,P1).mp3","Electronic, Synthpop, Atmospheric, Dreamy, Ambient",2145.295896,23.60901477,143.5546875,0.04924726,10.398387,0.75717867
"「Memento Mori手游」完整版抒情诗合集（1080P_320K_中字） - 3.X. THE FLOWER （Song by 小仓唯）娜塔夏（小仓唯）(Av300361986,P3).mp3","J-Pop, Anime Song, Emotional, Ballad, Vocals",2484.982282,23.55572053,161.4990234,0.049837622,9.833463,0.746758407
かねこちはる - TEmPTaTiON.mp3,"J-Pop, Idol Pop, Catchy, Energetic, Upbeat",2486.942476,22.86924079,161.4990234,0.051145194,16.050844,0.746354364
"山茶花 Camellia かめりあ - Exit This Earth's Atomosphere - 1.Camellia - Exit This Earth's Atomosphe(Av286636372,P1).mp3",,2666.745048,21.11890444,172.265625,0.048125897,12.968903,0.746293904
Strange Arrival - Plastic Death.mp3,,2679.530597,19.72764898,172.265625,0.048865959,13.207319,0.74392679
"少女レイ- みきとP covered by 明透【cc字幕】 - 1.少女レイ- みきとP covered by 明透(Av514461244,P1).mp3",,2355.988459,22.75692069,151.9990809,0.048584052,14.70722,0.740109984
"「不埒な喝采」  covered by 跳亜【cc字幕】 - 1.【歌ってみた】「不埒な喝采」  covered by 跳亜(Av810542096,P1).mp3",,2520.824944,23.60264243,161.4990234,0.050842943,15.503448,0.739397943
"DJ Myosuke - Virtual Euphoria【HARDCORE TANO_C】 - 1.DJ Myosuke - Virtual Euphoria【HARDCORE(Av693544487,P1).mp3",,2713.29543,19.64761848,172.265625,0.049304891,14.130572,0.737704828
"[碧蓝档案]兔兔小队OST113 - 1.[Blue Archive] Theme 113(Av768194583,P1).mp3",,2714.159611,21.62457472,172.265625,0.051604648,14.736962,0.737546152
玩具? V.W.P #10【系譜曲】.wav,,2540.755887,21.02995836,161.4990234,0.049707644,15.195558,0.735331037
"【歌ってみた】エント?ロール covered by ヰ世界情緒 - 1.ヰ世界情緒_エンドロール(Av711943915,P1).mp3",,2384.071049,22.28876141,151.9990809,0.048824206,16.813213,0.733756817
STEREOTYPE - Abracadabra - (PsyCore Series No.1) (320 kbps).mp3,,2551.477022,21.18600006,161.4990234,0.047992573,11.111151,0.733151348
